index,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Total Unusual Items,Total Unusual Items Excluding Goodwill,Rent Expense Supplemental,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Other Operating Expenses,Selling And Marketing Expense,Otherunder Preferred Stock Dividend,Minority Interests,Gain On Sale Of Security,Net Income Discontinuous Operations,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Average Dilution Earnings,Gain On Sale Of Business,General And Administrative Expense,Other Gand A,Gain On Sale Of Ppe,Write Off,Earnings From Equity Interest,Earnings From Equity Interest Net Of Tax,Other Taxes,Salaries And Wages,Preferred Stock Dividends,Total Other Finance Cost,Depreciation Income Statement,Provision For Doubtful Accounts,Rent And Landing Fees,Excise Taxes,Insurance And Claims,Net Income From Tax Loss Carryforward,Net Income Extraordinary,Securities Amortization,Depletion Income Statement
2023-12-31 00:00:00,-17795292.102322,0.093141,1892111000.0,501812000.0,716309000.0,612622000.0,1701053000.0,984744000.0,-438209000.0,436241000.0,18305000.0,675074707.897678,501812000.0,1596867000.0,923659000.0,,,,,501812000.0,501812000.0,501812000.0,497415000.0,497415000.0,51088000.0,548503000.0,-128005000.0,63053000.0,-438209000.0,436241000.0,18305000.0,1114717000.0,984245000.0,,267936000.0,2098962000.0,612622000.0,2711584000.0,2711584000.0,-191058000.0,-191058000.0,,-191058000.0,,151481000.0,21671000.0,,,,4397000.0,,,716309000.0,716309000.0,,,,,,,,17906000.0,,,,,,20273000.0,,,,,,,,,
2022-12-31 00:00:00,-8842490.583691,0.125596,1703716000.0,461429000.0,707576000.0,668650000.0,1633312000.0,925736000.0,-409595000.0,399893000.0,10133000.0,522990509.416309,461429000.0,1638079000.0,925408000.0,109386000.0,107957000.0,4.22,4.27,461429000.0,461429000.0,461429000.0,459799000.0,459799000.0,66044000.0,525843000.0,-59937000.0,10467000.0,-409595000.0,399893000.0,10133000.0,995375000.0,969429000.0,,261853000.0,1964804000.0,668650000.0,2633454000.0,2633454000.0,-70404000.0,-70404000.0,,-70404000.0,437000.0,42829000.0,26807000.0,,,,1630000.0,,,707576000.0,707576000.0,,,,,,,,331000.0,,,,,,19835000.0,,,,,,,,,
2021-12-31 00:00:00,-5925210.956431,0.059153,1452896000.0,237624000.0,700161000.0,545484000.0,1352729000.0,652568000.0,-416145000.0,400004000.0,3448000.0,331865789.043569,237624000.0,1465674000.0,782495000.0,111177000.0,109328000.0,2.14,2.17,237624000.0,237624000.0,237624000.0,237624000.0,237624000.0,14940000.0,252564000.0,-174451000.0,-74284000.0,-416145000.0,400004000.0,3448000.0,843160000.0,920190000.0,,220029000.0,1763350000.0,545484000.0,2308834000.0,2308834000.0,-100167000.0,-100167000.0,,-100167000.0,39502000.0,31162000.0,27621000.0,1882000.0,,,0.0,,,700161000.0,700161000.0,,,,,,,,1882000.0,,,,,,19589000.0,,,,,,,,,
2020-12-31 00:00:00,-20558340.0,0.27,1173107000.0,24104000.0,721970000.0,476528000.0,1096965000.0,374995000.0,-409821000.0,392744000.0,2981000.0,79687660.0,24104000.0,1392765000.0,633694000.0,113465000.0,111532000.0,0.21,0.22,24104000.0,24104000.0,24104000.0,24047000.0,24047000.0,-41796000.0,-17749000.0,-298301000.0,-222159000.0,-409821000.0,392744000.0,2981000.0,690373000.0,916237000.0,,194267000.0,1606610000.0,476528000.0,2083138000.0,2083138000.0,-76142000.0,-76142000.0,,-76142000.0,19463000.0,39008000.0,16582000.0,1089000.0,,,57000.0,,,721970000.0,721970000.0,,,,,,,,1089000.0,,,,,,20058000.0,,,,,,,,,
Symbol,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC,,SBAC,SBAC,SBAC,SBAC,SBAC,,,SBAC,,,SBAC,SBAC,,,,,,,,SBAC,,,,,,SBAC,,,,,,,,,
2022-12-31 00:00:00,0.0,0.238,,1337049000.0,23324000.0,,,,2535334000.0,1015003000.0,3550337000.0,1337049000.0,1337049000.0,,,,,,,1300549000.0,1300549000.0,1337049000.0,1337049000.0,1337049000.0,418355000.0,1755404000.0,,,,,,,,,766855000.0,,,2696371000.0,2696371000.0,,,,,,,,,,,,-900000.0,,,,,,,,766855000.0,211745000.0,,,,,,524766000.0,36500000.0,,,,,,30344000.0,,,,
2021-12-31 00:00:00,0.0,0.264,,918441000.0,21005000.0,,,,1880524000.0,309857000.0,2190381000.0,918441000.0,918441000.0,,,58508000.0,57871000.0,15.03,15.2,880554000.0,880554000.0,918441000.0,918441000.0,918441000.0,329333000.0,1247774000.0,,,,,,,,,626138000.0,,,2001416000.0,2001416000.0,,,,,,,,,,,,0.0,,,,,,,,626138000.0,142710000.0,,,,,,458885000.0,37887000.0,,,,,,24543000.0,,,,
2020-12-31 00:00:00,0.0,0.278,,528359000.0,20684000.0,,,,1519092000.0,412554000.0,1931646000.0,528359000.0,528359000.0,,,52899000.0,52641000.0,9.96,10.0,528359000.0,528359000.0,528359000.0,528359000.0,528359000.0,203833000.0,732192000.0,,,,,,,,,551397000.0,,,1594340000.0,1594340000.0,,,,,,,,,,,,3606000.0,,,,,,,,551397000.0,148530000.0,,,,,,389125000.0,,,,,,,13742000.0,,,,
Symbol,SBNY,SBNY,,SBNY,SBNY,,,,SBNY,SBNY,SBNY,SBNY,SBNY,,,SBNY,SBNY,SBNY,SBNY,SBNY,SBNY,SBNY,SBNY,SBNY,SBNY,SBNY,,,,,,,,,SBNY,,,SBNY,SBNY,,,,,,,,,,,,SBNY,,,,,,,,SBNY,SBNY,,,,,,SBNY,SBNY,,,,,,SBNY,,,,
2023-09-30 00:00:00,16402000.0,0.236,7332800000.0,4124500000.0,1450300000.0,26041700000.0,7402300000.0,5952000000.0,-468900000.0,550100000.0,81200000.0,4071402000.0,4124500000.0,30472700000.0,5870800000.0,1151300000.0,1146800000.0,3.58,3.6,4124500000.0,4124500000.0,4124500000.0,4124700000.0,4124700000.0,1277200000.0,5401900000.0,367900000.0,,-468900000.0,550100000.0,81200000.0,5502900000.0,4343300000.0,,2441300000.0,9846200000.0,26129400000.0,35975600000.0,33975000000.0,69500000.0,69500000.0,2871000000.0,69500000.0,,,21800000.0,539400000.0,,,-200000.0,,,1362600000.0,1362600000.0,,,,0.0,2441300000.0,2441300000.0,91300000.0,,298400000.0,,,,,,,,,,,,,,
2022-09-30 00:00:00,-10304000.0,0.224,6290200000.0,3281600000.0,1529400000.0,23797700000.0,6244200000.0,4714800000.0,-385900000.0,482900000.0,97000000.0,3317296000.0,3281600000.0,27820600000.0,4617800000.0,1158500000.0,1147900000.0,2.83,2.860031,3281600000.0,3281600000.0,3281600000.0,3283400000.0,3283400000.0,948500000.0,4231900000.0,188100000.0,,-385900000.0,482900000.0,97000000.0,4429700000.0,3941400000.0,,2032000000.0,8371100000.0,23879200000.0,32250300000.0,30231600000.0,-46000000.0,-46000000.0,2674100000.0,-46000000.0,,,46000000.0,461500000.0,,,-1800000.0,,,1447900000.0,1447900000.0,,,,0.0,2032000000.0,2032000000.0,0.0,,234100000.0,,,,,,,,,,,,,,
2021-09-30 00:00:00,149925600.0,0.216,6656700000.0,4199300000.0,1524100000.0,20587200000.0,7350800000.0,5826700000.0,-379700000.0,469800000.0,90100000.0,3655125600.0,4199300000.0,24403400000.0,4872100000.0,1185500000.0,1180000000.0,3.54,3.561445,4199300000.0,4199300000.0,4199300000.0,4200300000.0,4200300000.0,1156600000.0,5356900000.0,1079400000.0,,-379700000.0,469800000.0,90100000.0,4657200000.0,3733800000.0,,1932600000.0,8391000000.0,20669600000.0,29060600000.0,27290600000.0,694100000.0,694100000.0,2561500000.0,694100000.0,,,170400000.0,359500000.0,,,-1000000.0,,,1441700000.0,1441700000.0,,,,864500000.0,1932600000.0,1932600000.0,0.0,,385300000.0,,,,,,,,,,,,,,
2020-09-30 00:00:00,-57412200.0,0.206,3383300000.0,928300000.0,1503200000.0,18387000000.0,3104600000.0,1601400000.0,-397300000.0,437000000.0,39700000.0,1149587800.0,928300000.0,22000100000.0,1561700000.0,1181800000.0,1173300000.0,0.79,0.791187,928300000.0,928300000.0,928300000.0,924700000.0,924700000.0,239700000.0,1164400000.0,43800000.0,,-397300000.0,437000000.0,39700000.0,1517900000.0,3541200000.0,,1679600000.0,5059100000.0,18458900000.0,23518000000.0,21491700000.0,-278700000.0,-278700000.0,2388000000.0,-278700000.0,,,278700000.0,430300000.0,,,3600000.0,,,1431300000.0,1431300000.0,,,,0.0,1679600000.0,1679600000.0,,,322500000.0,,,,,,,,,,,,,,
Symbol,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,,SBUX,SBUX,SBUX,SBUX,SBUX,,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,,,SBUX,SBUX,,,SBUX,,,SBUX,SBUX,,,,SBUX,SBUX,SBUX,SBUX,,SBUX,,,,,,,,,,,,,,
Symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31 00:00:00,0.0,0.206,,5067000000.0,1338000000.0,,,,9427000000.0,6684000000.0,16111000000.0,5067000000.0,5067000000.0,,,1831000000.0,1824000000.0,2.54,2.55,4649000000.0,4649000000.0,5067000000.0,5067000000.0,5067000000.0,1311000000.0,6378000000.0,,,,,,,,,6712000000.0,,,18837000000.0,18837000000.0,,,,,,,,,397000000.0,,,0.0,,1338000000.0,1338000000.0,534000000.0,534000000.0,,,6315000000.0,,,,,,,6315000000.0,418000000.0,,804000000.0,,,,,,,,
